Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,UDI,Product ID,Type,TWF,HDF,PWF,OSF,RNF
298.6,309.9,1564.0,37.1,30.0,0,8454,L55633,L,0,0,0,0,0
300.9,310.7,1509.0,37.5,12.0,0,6090,L53269,L,0,0,0,0,0
298.5,309.3,1570.0,40.1,131.0,0,9463,L56642,L,0,0,0,0,0
298.1,308.1,1791.0,27.3,63.0,0,1945,L49124,L,0,0,0,0,0
300.2,311.8,1410.0,51.4,189.0,0,7501,L54680,L,0,0,0,0,0
299.5356723654816,310.6766614859258,1376.3700155422225,53.93700155422226,214.01329188740635,1,11413,SYNTH01412,L,0,0,0,0,0
303.6,312.7,1429.0,47.7,198.0,0,4979,L52158,L,0,0,0,0,0
299.1,308.3,1533.0,42.4,48.0,0,2263,L49442,L,0,0,0,0,0
301.4,310.4,1496.0,35.2,153.0,0,3424,L50603,L,0,0,0,0,0
298.8,309.7,1374.0,58.6,123.0,0,9878,L57057,L,0,0,0,0,0
299.710945488857,309.31094548885704,1398.9087875928583,41.98756391085613,220.79933270428802,1,13241,SYNTH03240,L,0,0,0,0,0
297.5,308.1,1334.0,72.0,151.0,1,11817,SYNTH01816,L,0,0,0,0,0
295.6,306.2,1443.0,48.9,33.0,0,941,L48120,L,0,0,0,0,0
300.3,311.6,1607.0,33.5,109.0,0,7470,L54649,L,0,0,0,0,0
297.1,307.8,1636.0,30.3,90.0,0,8967,L56146,L,0,0,0,0,0
297.3,308.2,1396.0,52.7,212.0,1,11948,SYNTH01947,L,0,0,0,0,0
297.5,308.9,1390.0,44.6,140.0,0,725,L47904,L,0,0,0,0,0
303.0,311.0,1359.0,44.2,115.0,1,11503,SYNTH01502,L,0,0,0,0,0
299.8,309.1,1578.0,42.1,191.0,0,3101,L50280,L,0,0,0,0,0
302.5,310.2,1307.0,54.0,86.0,1,4502,L51681,L,0,1,0,0,0
298.3,309.4,1378.0,52.3,12.0,0,8526,L55705,L,0,0,0,0,0
300.9,311.0,1499.0,38.0,111.0,0,6129,L53308,L,0,0,0,0,0
302.2623033035949,310.2082022023966,1376.294944940085,49.82303303594897,164.37696696405104,1,11655,SYNTH01654,L,0,0,0,0,0
299.4,310.5,1749.0,28.1,179.0,0,9646,L56825,L,0,0,0,0,0
301.6,310.8,1418.0,44.7,46.0,0,6699,L53878,L,0,0,0,0,0
299.7,309.5,1352.0,49.7,184.0,0,2071,L49250,L,0,0,0,0,0
300.4,311.1,1397.0,50.8,189.0,0,7586,L54765,L,0,0,0,0,0
298.6,310.0,1517.0,39.0,4.0,0,8443,L55622,L,0,0,0,0,0
299.44987560467166,308.91240670350373,1303.7704705136257,65.44906977081496,42.0,1,12595,SYNTH02594,L,0,0,0,0,0
302.6,312.4,1398.0,41.6,40.0,0,5419,L52598,L,0,0,0,0,0
299.2,310.4,1611.0,36.4,32.0,0,9509,L56688,L,0,0,0,0,0
302.55190535603595,310.38557160681074,1364.8557160681078,66.27095891639503,79.51905356035913,1,11031,SYNTH01030,L,0,0,0,0,0
303.5,313.0,1465.0,41.0,56.0,0,5247,L52426,L,0,0,0,0,0
302.75510130335203,311.3521536828834,1304.7460303120736,61.73446796007126,214.46258441946006,1,10966,SYNTH00965,L,0,0,0,0,0
298.0086523116512,308.2236339708935,1314.3861563013581,60.47377033561116,199.3948086130093,1,11885,SYNTH01884,L,0,0,0,0,0
303.54091870936287,313.0009395065211,1257.2192060735865,58.73810018979958,211.85699430601255,1,10124,SYNTH00123,L,0,0,0,0,0
298.3458240117959,308.7970011715043,1426.67236603446,57.332987113452475,26.374720353876903,1,13417,SYNTH03416,L,0,0,0,0,0
302.3,310.2,1394.0,55.4,57.0,0,4408,L51587,L,0,0,0,0,0
301.0,312.1,1405.0,46.1,79.0,0,7972,L55151,L,0,0,0,0,0
301.0,312.3,1424.0,43.5,136.0,0,7995,L55174,L,0,0,0,0,0
303.6,312.4,1781.0,28.7,124.0,0,4867,L52046,L,0,0,0,0,0
300.7,311.0,1403.0,48.3,70.0,0,6027,L53206,L,0,0,0,0,0
299.0864958975594,309.24391238518075,1541.1616184804475,36.418819593648884,206.41254639576593,1,12085,SYNTH02084,L,0,0,0,0,0
301.541273617379,311.2457275123713,1233.085449752575,64.89963718527288,170.96271734461936,1,10669,SYNTH00668,L,0,0,0,0,0
300.8,310.4,1368.0,46.8,21.0,0,6267,L53446,L,0,0,0,0,0
304.0,312.9,1363.0,62.5,200.0,1,11236,SYNTH01235,L,0,0,0,0,0
298.8,308.7,1490.0,33.6,71.0,0,2534,L49713,L,0,0,0,0,0
302.7,310.7,1433.0,43.7,13.0,0,4560,L51739,L,0,0,0,0,0
300.24893987070504,309.58038869003065,2026.789756651872,18.917491051379464,182.40812453218746,1,10498,SYNTH00497,L,0,0,0,0,0
304.3,313.5,1464.0,36.7,194.0,0,5138,L52317,L,0,0,0,0,0
297.2,308.6,1500.0,37.1,161.0,0,1233,L48412,L,0,0,0,0,0
298.2,308.3,1589.0,33.2,94.0,0,287,L47466,L,0,0,0,0,0
299.5,309.2,1690.0,29.2,108.0,0,2720,L49899,L,0,0,0,0,0
300.7,309.5,1508.0,39.9,59.0,0,2963,L50142,L,0,0,0,0,0
302.73109489232456,311.5511050762138,1307.71115260103,60.035532170328494,217.48894923786193,1,11994,SYNTH01993,L,0,0,0,0,0
302.5,311.4,1559.0,37.6,209.0,0,3859,L51038,L,0,0,0,0,0
302.5401833580051,311.0548255769378,1340.4267889053367,51.98693652357028,206.5607334320205,1,10469,SYNTH00468,L,0,0,0,0,0
300.1,309.7,1410.0,48.3,118.0,0,6386,L53565,L,0,0,0,0,0
300.2,309.5,2183.0,17.8,39.0,0,2782,L49961,L,0,0,0,0,0
300.693154496287,310.64815084948384,1348.487019478355,50.62832482412593,211.15184915051617,1,10698,SYNTH00697,L,0,0,0,0,0
299.0,310.4,1365.0,49.1,226.0,1,13520,SYNTH03519,L,0,0,0,0,0
298.4,307.9,1544.0,35.9,132.0,0,1737,L48916,L,0,0,0,0,0
302.7,310.7,1977.0,20.0,21.0,0,4564,L51743,L,0,0,0,0,0
298.9,308.2,1372.0,63.6,30.0,1,11380,SYNTH01379,L,0,0,0,0,0
299.1,308.8,1502.0,38.3,88.0,0,2541,L49720,L,0,0,0,0,0
302.5031348056026,310.9031348056026,1329.9686519439742,56.63981113498532,97.4388727843621,1,10655,SYNTH00654,L,0,0,0,0,0
299.6,310.8,1393.0,49.9,78.0,0,8142,L55321,L,0,0,0,0,0
296.7,307.7,1502.0,43.9,84.0,0,1041,L48220,L,0,0,0,0,0
300.6,311.0,1563.0,40.7,87.0,0,6959,L54138,L,0,0,0,0,0
303.6,312.7,1637.0,32.9,19.0,0,5318,L52497,L,0,0,0,0,0
302.2660973645037,310.6995342073212,1368.3359210704375,53.19767103660618,150.67028949861262,1,10369,SYNTH00368,L,0,0,0,0,0
297.3,307.9,1579.0,34.4,193.0,0,9010,L56189,L,0,0,0,0,0
302.4,312.0,1457.0,45.5,206.0,0,5567,L52746,L,0,0,0,0,0
297.4,309.4,1620.0,35.4,51.0,0,525,L47704,L,0,0,0,0,0
303.0,311.3,2194.0,16.5,148.0,0,4613,L51792,L,0,0,0,0,0
303.5,312.3,1946.0,21.1,112.0,0,4862,L52041,L,0,0,0,0,0
297.6,308.6,1351.0,51.0,37.0,0,9112,L56291,L,0,0,0,0,0
302.9,312.5,1550.0,45.5,72.0,0,5434,L52613,L,0,0,0,0,0
297.4,308.4,1664.0,28.1,67.0,0,9047,L56226,L,0,0,0,0,0
301.7,310.7,1641.0,31.9,192.0,0,3606,L50785,L,0,0,0,0,0
297.8,307.8,1412.0,48.3,27.0,0,1608,L48787,L,0,0,0,0,0
297.6,308.8,1539.0,40.2,72.0,0,699,L47878,L,0,0,0,0,0
297.5,308.6,1793.0,26.7,70.0,0,446,L47625,L,0,0,0,0,0
301.4,310.6,1578.0,33.0,181.0,0,6575,L53754,L,0,0,0,0,0
297.2,307.9,1989.0,20.3,186.0,0,9090,L56269,L,0,0,0,0,0
297.8,307.5,1388.0,40.0,159.0,0,1900,L49079,L,0,0,0,0,0
300.7,310.6,1407.0,40.5,87.0,0,6210,L53389,L,0,0,0,0,0
297.4,308.5,1495.0,37.8,211.0,0,417,L47596,L,0,0,0,0,0
299.7,309.0,1412.0,49.2,85.0,0,2198,L49377,L,0,0,0,0,0
303.4,311.4,1307.0,54.0,44.0,1,12175,SYNTH02174,L,0,0,0,0,0
298.3,308.4,1585.0,30.6,127.0,0,1558,L48737,L,0,0,0,0,0
299.6,309.2,1450.0,43.1,160.0,0,2569,L49748,L,0,0,0,0,0
300.4,310.8,1390.0,52.5,144.0,0,5968,L53147,L,0,0,0,0,0
302.28483951430565,310.88104939288206,1360.4927157850664,44.15160485694353,67.2274072854153,1,12931,SYNTH02930,L,0,0,0,0,0
298.7,310.2,1717.0,27.3,26.0,0,1348,L48527,L,0,0,0,0,0
300.1,309.2,1599.0,30.1,216.0,0,3191,L50370,L,0,0,0,0,0
300.4,310.5,1578.0,32.8,26.0,0,7267,L54446,L,0,0,0,0,0
299.0,308.6,1946.0,22.3,102.0,0,2456,L49635,L,0,0,0,0,0
299.0,308.6,1466.0,46.4,112.0,0,2461,L49640,L,0,0,0,0,0
298.0,308.9,1500.0,36.7,104.0,0,8564,L55743,L,0,0,0,0,0
302.4,310.2,1346.0,62.4,106.0,1,4511,L51690,L,0,1,0,0,0
302.3,311.1,1546.0,33.1,156.0,0,3757,L50936,L,0,0,0,0,0
301.9,310.8,1540.0,37.6,83.0,0,3483,L50662,L,0,0,0,0,0
299.7,309.1,1851.0,24.7,189.0,0,2753,M17612,M,0,0,0,0,0
298.0,308.7,1479.0,58.5,176.0,1,12400,SYNTH02399,M,0,0,0,0,0
298.2,309.2,1524.0,34.6,161.0,0,1487,M16346,M,0,0,0,0,0
300.2046718963843,310.5606229195179,1375.8186875855372,52.39454945421829,229.20467189638433,1,10397,SYNTH00396,M,0,0,0,0,0
302.45443842864006,310.26074876181326,1331.581822377063,50.38737933365364,145.87379333653638,1,10759,SYNTH00758,M,0,0,0,0,0
298.1,308.9,1459.0,50.3,115.0,0,9302,M24161,M,0,0,0,0,0
301.1,310.7,2219.0,16.7,79.0,0,6791,M21650,M,0,0,0,0,0
300.9,311.2,1472.0,40.0,93.0,0,6121,M20980,M,0,0,0,0,0
298.9,310.7,1638.0,33.6,218.0,0,8283,M23142,M,0,0,0,0,0
300.2,311.3,1587.0,31.2,73.0,0,7541,M22400,M,0,0,0,0,0
301.2542688246167,310.72335041592845,1334.4353172995457,65.59275522606477,205.41009065701306,1,13006,SYNTH03005,M,0,0,0,0,0
300.55477631512196,310.2363059212195,1363.2738815756097,63.48470393902454,207.2738815756098,1,12773,SYNTH02772,M,0,0,0,0,0
296.3,307.2,1319.0,68.3,24.0,1,1017,M15876,M,0,0,1,0,0
303.7,312.9,1566.0,32.6,9.0,0,5314,M20173,M,0,0,0,0,0
302.2,311.4,1539.0,35.1,24.0,0,5665,M20524,M,0,0,0,0,0
301.9,311.1,1380.0,51.6,184.0,0,3686,M18545,M,0,0,0,0,0
298.1,307.8,1503.0,44.7,54.0,0,1705,M16564,M,0,0,0,0,0
303.35454648819666,311.45227419161193,1412.4091270868826,45.6386328319948,102.22726755901678,1,10382,SYNTH00381,M,0,0,0,0,0
304.2,313.5,1557.0,37.3,164.0,0,5125,M19984,M,0,0,0,0,0
298.1,308.6,1425.0,41.9,11.0,0,6,M14865,M,0,0,0,0,0
303.2,311.5,1336.0,58.2,2.0,1,4738,M19597,M,0,1,0,0,0
299.2,308.2,1674.0,28.2,14.0,0,2343,M17202,M,0,0,0,0,0
298.2,308.5,2678.0,10.7,86.0,1,11819,SYNTH01818,M,0,0,0,0,0
298.9,310.1,1549.0,40.2,65.0,0,9604,M24463,M,0,0,0,0,0
302.1,310.7,1364.0,47.8,213.0,1,12178,SYNTH02177,M,0,0,0,0,0
298.7,309.2,1423.0,48.9,187.0,0,9902,M24761,M,0,0,0,0,0
299.7,308.9,1551.0,35.4,82.0,0,2197,M17056,M,0,0,0,0,0
297.9,308.8,1602.0,32.1,59.0,0,9201,M24060,M,0,0,0,0,0
300.1,310.1,1402.0,46.6,10.0,0,7173,M22032,M,0,0,0,0,0
301.7873290902953,310.9694882245529,1355.3568173148483,57.71079567128794,194.91079567128796,1,13198,SYNTH03197,M,0,0,0,0,0
302.3,311.0,1450.0,45.7,175.0,0,3848,M18707,M,0,0,0,0,0
301.24663534803426,310.9156737770105,1411.3451921448814,53.28221178267808,236.3346199433243,1,11567,SYNTH01566,M,0,0,0,0,0
298.6,309.5,1580.0,33.9,70.0,0,9860,M24719,M,0,0,0,0,0
300.3,311.6,1617.0,32.5,115.0,0,7473,M22332,M,0,0,0,0,0
299.5,309.0,1399.0,49.7,207.0,0,2159,M17018,M,0,0,0,0,0
302.0,310.4,1336.0,58.2,110.0,1,13082,SYNTH03081,M,0,0,0,0,0
300.5,311.9,1370.0,44.8,20.0,0,7860,M22719,M,0,0,0,0,0
297.0,307.9,1493.0,34.7,57.0,0,1197,M16056,M,0,0,0,0,0
302.2586419286768,310.6439814465076,1333.560185534924,53.02407421396957,158.2669758915399,1,12996,SYNTH02995,M,0,0,0,0,0
301.8,311.3,1624.0,31.6,145.0,0,5793,M20652,M,0,0,0,0,0
298.9,309.6,1567.0,34.5,204.0,0,9489,M24348,M,0,0,0,0,0
304.0,313.3,1415.0,52.8,82.0,0,5094,M19953,M,0,0,0,0,0
297.5,308.5,1447.0,41.6,118.0,0,9145,M24004,M,0,0,0,0,0
298.2,308.7,1599.0,36.2,28.0,0,9350,M24209,M,0,0,0,0,0
299.1484598388658,309.0515401611342,2572.904730957127,12.683613854979203,151.93140759266515,1,12967,SYNTH02966,M,0,0,0,0,0
298.9,308.7,1772.0,28.4,177.0,0,2487,M17346,M,0,0,0,0,0
299.8,311.0,1948.0,20.0,185.0,0,9570,M24429,M,0,0,0,0,0
297.6,308.8,1453.0,39.7,69.0,0,698,M15557,M,0,0,0,0,0
296.7,307.8,1286.0,60.5,0.0,0,763,M15622,M,0,0,0,0,0
301.0,311.0,1508.0,46.9,113.0,0,6130,M20989,M,0,0,0,0,0
298.6,308.2,1361.0,68.2,172.0,1,11458,SYNTH01457,M,0,0,0,0,0
299.3,308.6,1448.0,52.1,71.0,0,2273,M17132,M,0,0,0,0,0
297.6,308.6,1492.0,35.5,88.0,0,8646,M23505,M,0,0,0,0,0
301.6,310.9,1575.0,40.1,139.0,0,6735,M21594,M,0,0,0,0,0
297.4,309.1,1463.0,35.0,183.0,0,488,M15347,M,0,0,0,0,0
301.4,310.6,1459.0,46.9,27.0,0,3376,M18235,M,0,0,0,0,0
302.1,310.7,1314.0,52.8,8.0,1,11713,SYNTH01712,M,0,0,0,0,0
298.6,309.4,1407.0,45.1,176.0,0,9819,M24678,M,0,0,0,0,0
298.8,309.9,1439.0,45.2,40.0,1,11905,SYNTH01904,M,0,0,0,0,0
302.0241576061413,310.55153747206805,1358.0907751675913,59.6549070475031,66.69692505586382,1,12922,SYNTH02921,M,0,0,0,0,0
302.2,311.2,1360.0,52.8,176.0,0,4013,M18872,M,0,0,0,0,0
298.8,309.7,2098.0,19.0,133.0,0,9725,M24584,M,0,0,0,0,0
300.7,309.6,1996.0,19.8,203.0,1,11438,SYNTH01437,M,0,0,0,0,0
300.4830399795277,309.890989989124,1396.9946999936024,45.936040043503716,210.0106000127952,1,10297,SYNTH00296,M,0,0,0,0,0
300.6,309.7,1934.0,22.8,15.0,0,3034,M17893,M,0,0,0,0,0
304.1,313.3,1725.0,28.3,177.0,0,5130,M19989,M,0,0,0,0,0
302.1,310.7,1364.0,47.8,213.0,1,4122,M18981,M,0,1,0,0,0
298.8,310.1,1585.0,31.3,147.0,0,8417,M23276,M,0,0,0,0,0
297.4,308.6,1643.0,31.0,89.0,0,453,M15312,M,0,0,0,0,0
297.6,309.6,1592.0,35.8,57.0,0,528,M15387,M,0,0,0,0,0
300.1,311.1,1616.0,35.2,183.0,0,7414,M22273,M,0,0,0,0,0
301.8,310.6,2672.0,11.8,124.0,1,10840,SYNTH00839,M,0,0,0,0,0
298.7,310.1,1693.0,31.9,51.0,0,1359,M16218,M,0,0,0,0,0
297.3,308.1,1709.0,30.6,196.0,0,9094,M23953,M,0,0,0,0,0
297.7,308.8,1350.0,57.0,105.0,0,9220,M24079,M,0,0,0,0,0
303.33587156156807,311.6755504654883,1372.511009309767,43.235275180013524,32.39678903920243,1,11201,SYNTH01200,M,0,0,0,0,0
301.67366918504626,311.17244872209574,1418.0244092590112,49.70950401862519,216.19267722229665,1,11087,SYNTH01086,M,0,0,0,0,0
298.2,309.1,1457.0,49.0,77.0,0,8552,M23411,M,0,0,0,0,0
300.8,311.2,1488.0,40.1,87.0,0,6878,M21737,M,0,0,0,0,0
301.5437743287711,310.37412452055077,1297.2729293933414,56.98232348335373,47.59060590998776,1,12699,SYNTH02698,M,0,0,0,0,0
303.28040683666217,311.7647323059919,1314.8824410199732,61.61597399857867,41.921627346648705,1,10852,SYNTH00851,M,0,0,0,0,0
303.7,313.0,1303.0,54.4,2.0,0,4988,M19847,M,0,0,0,0,0
297.3,308.5,1710.0,27.7,138.0,0,8900,M23759,M,0,0,0,0,0
302.6,310.5,1542.0,39.9,184.0,0,4544,M19403,M,0,0,0,0,0
299.2,310.4,1504.0,43.3,37.0,0,9511,M24370,M,0,0,0,0,0
301.2,311.1,1574.0,34.3,4.0,0,5830,M20689,M,0,0,0,0,0
298.5,309.3,1761.0,27.2,49.0,0,9852,M24711,M,0,0,0,0,0
300.0,310.2,1393.0,51.2,190.0,0,7244,M22103,M,0,0,0,0,0
302.5819053424212,311.51809465757884,1366.6244972597012,54.12081657532337,118.19455616451086,1,12431,SYNTH02430,M,0,0,0,0,0
297.4,308.5,1497.0,36.4,56.0,0,8795,M23654,M,0,0,0,0,0
299.93847253203444,309.85898168802294,1641.384725320344,31.482268058494373,217.0,1,10346,SYNTH00345,M,0,0,0,0,0
297.2,308.3,1429.0,42.0,6.0,0,1177,M16036,M,0,0,0,0,0
301.6,310.7,2012.0,20.7,178.0,0,3433,M18292,M,0,0,0,0,0
300.6,309.5,1557.0,33.8,84.0,0,3225,M18084,M,0,0,0,0,0
300.3,311.2,1381.0,65.2,136.0,1,12539,SYNTH02538,M,0,0,0,0,0
300.8,309.7,1751.0,27.9,183.0,0,2934,M17793,M,0,0,0,0,0
295.5,305.9,1380.0,52.4,202.0,0,923,M15782,M,0,0,0,0,0
302.2,311.7,1584.0,36.2,63.0,0,5679,M20538,M,0,0,0,0,0
299.3,310.5,1404.0,47.5,12.0,0,9583,M24442,M,0,0,0,0,0
299.5,310.7,1424.0,41.3,101.0,0,8151,M23010,M,0,0,0,0,0
298.0,309.9,1445.0,45.2,55.0,0,615,M15474,M,0,0,0,0,0
298.4,308.5,1576.0,27.4,55.0,0,9929,M24788,M,0,0,0,0,0
302.8,312.3,1262.0,70.5,234.0,1,10696,SYNTH00695,M,0,0,0,0,0
302.3,311.2,1546.0,40.0,71.0,0,3896,M18755,M,0,0,0,0,0
298.7,309.7,1629.0,27.9,136.0,0,9726,M24585,M,0,0,0,0,0
