Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,UDI,Product ID,Type,TWF,HDF,PWF,OSF,RNF
297.4,308.4,1341.0,52.2,49.0,0,439,L47618,L,0,0,0,0,0
299.1,309.9,1586.0,36.6,215.0,0,9493,L56672,L,0,0,0,0,0
302.2,310.8,1673.0,32.9,52.0,0,4231,L51410,L,0,0,0,0,0
303.5,312.5,1457.0,46.4,168.0,0,4799,L51978,L,0,0,0,0,0
297.4,308.3,1412.0,42.0,111.0,0,374,L47553,L,0,0,0,0,0
298.6,309.1,1537.0,35.7,198.0,0,9905,L57084,L,0,0,0,0,0
300.6,311.7,1556.0,34.9,76.0,0,7626,L54805,L,0,0,0,0,0
301.94224316135404,310.4084486322708,1370.1689726454165,51.19308206375149,152.23962309562722,1,10583,SYNTH00582,L,0,0,0,0,0
302.2,310.6,1386.0,50.0,132.0,0,4173,L51352,L,0,0,0,0,0
299.0134768147594,308.57376043150896,2565.4113446699835,12.8,107.52479136982038,1,12761,SYNTH02760,L,0,0,0,0,0
301.6,310.7,1457.0,40.4,213.0,0,6589,L53768,L,0,0,0,0,0
300.6,310.2,1447.0,45.9,17.0,0,7095,L54274,L,0,0,0,0,0
300.3,310.7,1539.0,32.3,123.0,0,5962,L53141,L,0,0,0,0,0
301.0,311.4,1573.0,37.6,103.0,0,6882,L54061,L,0,0,0,0,0
301.1,309.8,1493.0,38.9,149.0,0,3250,L50429,L,0,0,0,0,0
300.91988834961046,310.2,2703.699138019936,9.891831540329978,110.33688533043065,1,13321,SYNTH03320,L,0,0,0,0,0
300.1,309.2,1457.0,44.3,98.0,0,3067,M17926,M,0,0,0,0,0
302.2,310.5,1507.0,40.4,111.0,0,4166,M19025,M,0,0,0,0,0
297.4612571184217,308.385007765551,1339.287480586123,60.06496634927915,206.76249352870752,1,12161,SYNTH02160,M,0,0,0,0,0
301.9,310.9,1569.0,32.5,188.0,0,3520,M18379,M,0,0,0,0,0
300.4,309.3,1411.0,41.6,160.0,0,2831,M17690,M,0,0,0,0,0
302.9,311.0,1437.0,49.9,55.0,0,4576,M19435,M,0,0,0,0,0
298.0,308.7,1614.0,30.7,106.0,0,8565,M23424,M,0,0,0,0,0
300.3,311.7,1723.0,28.3,193.0,0,7758,M22617,M,0,0,0,0,0
298.0,307.6,1301.0,58.5,155.0,0,1981,M16840,M,0,0,0,0,0
300.5,311.9,1511.0,44.5,30.0,0,7864,M22723,M,0,0,0,0,0
297.9,309.0,1530.0,40.9,42.0,0,9194,M24053,M,0,0,0,0,0
303.8,312.6,1527.0,41.9,159.0,0,4881,M19740,M,0,0,0,0,0
300.26290072273423,309.56290072273424,1436.2049107149082,62.57349702383028,132.36748511915138,1,12020,SYNTH02019,M,0,0,0,0,0
301.3,310.0,1593.0,30.8,210.0,0,3273,M18132,M,0,0,0,0,0
300.8,310.5,1330.0,59.0,190.0,0,5905,M20764,M,0,0,0,0,0
298.8,308.6,1707.0,28.1,103.0,0,119,M14978,M,0,0,0,0,0
298.7,309.8,1475.0,40.5,59.0,0,8466,M23325,M,0,0,0,0,0
299.3191207360392,309.9957362208117,1373.9573622081175,55.95529658883133,201.47868110405872,1,11675,SYNTH01674,M,0,0,0,0,0
303.9,313.0,1901.0,22.5,110.0,0,5184,M20043,M,0,0,0,0,0
302.8715644801261,312.1140591997898,1482.7188160042035,46.21421775993694,246.13900639642708,1,11982,SYNTH01981,M,0,0,0,0,0
299.0,310.4,1371.0,53.8,228.0,1,10992,SYNTH00991,M,0,0,0,0,0
298.1196278535653,308.745814922642,1267.8727363259943,69.3592756243182,189.20362187840905,1,10535,SYNTH00534,M,0,0,0,0,0
297.6,307.2,1470.0,42.6,44.0,0,1855,M16714,M,0,0,0,0,0
298.7,310.1,1506.0,50.7,53.0,0,8305,M23164,M,0,0,0,0,0
301.7,310.9,1405.0,46.4,207.0,1,12276,SYNTH02275,M,0,0,0,0,0
298.4100752057186,308.74403008228745,1456.0397994514171,46.05708249023301,207.74005013714572,1,11396,SYNTH01395,M,0,0,0,0,0
