Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,UDI,Product ID,Type,TWF,HDF,PWF,OSF,RNF
303.48987877352994,312.11012122647,1335.5020204411676,64.39674827349984,56.19434276473068,1,12139,SYNTH02138,L,0,0,0,0,0
298.3,309.0,1519.0,40.0,96.0,0,8560,L55739,L,0,0,0,0,0
297.6,308.4,1517.0,34.2,66.0,0,358,L47537,L,0,0,0,0,0
297.5,308.9,1427.0,44.7,135.0,0,723,L47902,L,0,0,0,0,0
298.8,309.7,1609.0,40.4,169.0,0,8345,L55524,L,0,0,0,0,0
298.9,310.1,1510.0,38.0,52.0,0,9598,L56777,L,0,0,0,0,0
300.1,311.3,1535.0,42.3,92.0,0,7465,L54644,L,0,0,0,0,0
301.0,312.0,1447.0,36.8,31.0,0,7954,L55133,L,0,0,0,0,0
299.0,310.2,1533.0,43.5,159.0,0,1400,L48579,L,0,0,0,0,0
298.6,309.7,1627.0,33.4,99.0,0,8480,L55659,L,0,0,0,0,0
300.8,310.5,1482.0,39.0,47.0,0,7107,L54286,L,0,0,0,0,0
300.5,311.5,1708.0,31.2,57.0,0,7707,L54886,L,0,0,0,0,0
297.4,308.6,1609.0,36.2,116.0,0,715,L47894,L,0,0,0,0,0
302.5462627032354,311.50996612470556,1293.4127964088266,65.46585619970188,132.1744071823469,1,10543,SYNTH00542,L,0,0,0,0,0
298.3,308.4,1490.0,41.7,170.0,0,1577,L48756,L,0,0,0,0,0
303.924666510181,312.9376667449095,1363.75333489819,61.520664632352975,201.88333724547505,1,12689,SYNTH02688,L,0,0,0,0,0
301.7,311.0,1343.0,49.2,25.0,0,6691,L53870,L,0,0,0,0,0
301.1,310.8,1470.0,49.3,116.0,0,6221,L53400,L,0,0,0,0,0
297.8,308.5,1448.0,40.0,192.0,0,323,L47502,L,0,0,0,0,0
302.80848640816635,311.43599163579466,1400.9089979089488,53.37310857331045,207.453987453692,1,12946,SYNTH02945,L,0,0,0,0,0
302.7,311.7,1480.0,45.2,8.0,0,3870,L51049,L,0,0,0,0,0
300.3,310.6,1806.0,24.4,88.0,0,7291,L54470,L,0,0,0,0,0
297.5,308.9,1466.0,43.0,15.0,0,1258,L48437,L,0,0,0,0,0
298.4,308.6,1569.0,34.4,160.0,0,224,L47403,L,0,0,0,0,0
300.7,310.6,1654.0,34.2,89.0,0,7039,L54218,L,0,0,0,0,0
298.8,309.3,1450.0,44.8,63.0,0,22,L47201,L,0,0,0,0,0
302.3,312.0,1746.0,28.1,167.0,0,5718,L52897,L,0,0,0,0,0
303.2,311.4,1324.0,54.2,228.0,1,4644,L51823,L,0,1,0,1,0
303.9,312.8,1419.0,47.9,196.0,0,5060,L52239,L,0,0,0,0,0
299.4,308.6,1492.0,40.5,181.0,0,2235,L49414,L,0,0,0,0,0
299.3,309.0,1734.0,30.6,154.0,0,2139,L49318,L,0,0,0,0,0
298.5,309.5,1480.0,38.1,160.0,0,9318,L56497,L,0,0,0,0,0
302.4,311.0,1475.0,47.9,79.0,0,4242,L51421,L,0,0,0,0,0
