Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,UDI,Product ID,Type,TWF,HDF,PWF,OSF,RNF
300.1,309.3,1340.0,56.0,130.0,0,3080,L50259,L,0,0,0,0,0
301.0,311.0,1581.0,37.0,127.0,0,6135,L53314,L,0,0,0,0,0
297.7,308.7,1731.0,28.4,104.0,0,9138,L56317,L,0,0,0,0,0
301.8,310.6,1650.0,31.9,126.0,0,3581,L50760,L,0,0,0,0,0
299.1,308.4,1543.0,37.9,130.0,0,2387,L49566,L,0,0,0,0,0
299.1,310.1,1336.0,61.3,94.0,0,9711,L56890,L,0,0,0,0,0
303.6184855182486,312.3714253810226,1518.378173781017,35.703363033576274,212.81514481751412,1,10670,SYNTH00669,L,0,0,0,0,0
298.4,309.5,1357.0,50.1,125.0,0,8408,L55587,L,0,0,0,0,0
299.1,310.0,1394.0,46.6,27.0,0,9683,L56862,L,0,0,0,0,0
298.5,308.0,1379.0,49.6,152.0,0,1743,L48922,L,0,0,0,0,0
300.8,310.3,1538.0,36.1,198.0,0,6253,L53432,L,0,0,0,0,0
298.8,310.0,1412.0,46.3,107.0,0,1465,L48644,L,0,0,0,0,0
301.2,310.8,1233.0,64.6,45.0,0,6277,L53456,L,0,0,0,0,0
298.3,308.1,1412.0,52.3,218.0,1,11760,SYNTH01759,L,0,0,0,0,0
299.8,309.6,1526.0,41.7,85.0,0,7205,L54384,L,0,0,0,0,0
300.7,309.3,1425.0,45.3,100.0,0,3232,L50411,L,0,0,0,0,0
299.2,309.0,1515.0,48.9,228.0,1,2503,L49682,L,0,0,0,1,0
300.4,311.7,1444.0,51.2,174.0,0,7751,L54930,L,0,0,0,0,0
303.8,312.7,1664.0,29.3,178.0,0,5209,L52388,L,0,0,0,0,0
297.8,308.8,1559.0,35.2,66.0,0,9204,L56383,L,0,0,0,0,0
302.0241576061413,310.55153747206805,1358.0907751675911,59.6549070475031,66.69692505586382,1,12623,SYNTH02622,L,0,0,0,0,0
297.0,307.7,1447.0,46.4,8.0,0,1092,L48271,L,0,0,0,0,0
297.5,308.8,1587.0,34.9,166.0,0,8758,L55937,L,0,0,0,0,0
301.9,310.4,1370.0,51.7,153.0,1,12257,SYNTH02256,L,0,0,0,0,0
300.3,309.9,1621.0,34.1,36.0,0,6436,L53615,L,0,0,0,0,0
299.8,310.6,1707.0,32.5,124.0,0,7390,L54569,L,0,0,0,0,0
299.9,310.4,1470.0,50.0,148.0,0,7316,L54495,L,0,0,0,0,0
302.7,310.5,1725.0,29.0,209.0,0,4469,L51648,L,0,0,0,0,0
300.2,311.8,1464.0,44.5,179.0,0,7497,L54676,L,0,0,0,0,0
297.7,309.2,1365.0,58.6,170.0,0,658,L47837,L,0,0,0,0,0
300.5,311.7,1409.0,54.7,104.0,0,7723,L54902,L,0,0,0,0,0
298.3,309.3,1337.0,56.1,206.0,1,9831,L57010,L,0,0,0,1,0
301.4512385522488,309.8460669347688,1285.7505435212122,68.236853547815,111.0,1,12710,SYNTH02709,L,0,0,0,0,0
301.9,309.7,1424.0,42.8,140.0,0,4353,L51532,L,0,0,0,0,0
299.2,310.3,1463.0,38.9,160.0,0,9638,L56817,L,0,0,0,0,0
298.2,308.7,1605.0,29.4,47.0,0,9276,L56455,L,0,0,0,0,0
300.4,311.7,1459.0,45.6,3.0,0,8114,L55293,L,0,0,0,0,0
300.534668072001,310.6383294279412,1426.5205951271628,48.8538901906863,212.48855826268732,1,10920,SYNTH00919,L,0,0,0,0,0
299.2,308.9,1368.0,47.2,175.0,0,2315,L49494,L,0,0,0,0,0
298.9,310.2,1706.0,27.6,103.0,0,1463,L48642,L,0,0,0,0,0
298.8,308.9,1455.0,41.3,208.0,1,78,L47257,L,1,0,0,0,0
303.1,311.1,1854.0,22.6,19.0,0,4656,L51835,L,0,0,0,0,0
298.9,308.3,1432.0,48.9,38.0,0,2430,L49609,L,0,0,0,0,0
303.2,311.3,1393.0,52.9,12.0,0,4742,L51921,L,0,0,0,0,0
301.0,311.7,1547.0,34.5,152.0,0,6902,L54081,L,0,0,0,0,0
300.7,310.8,1563.0,33.8,104.0,0,5953,L53132,L,0,0,0,0,0
