Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,UDI,Product ID,Type,TWF,HDF,PWF,OSF,RNF
298.1,307.6,2066.0,19.2,150.0,0,1820,M16679,M,0,0,0,0,0
302.0,310.9,1352.0,55.5,59.0,0,4061,M18920,M,0,0,0,0,0
301.7943981115967,310.89272391257384,1277.2569227667775,69.6480361553098,86.86027116482347,1,11131,SYNTH01130,M,0,0,0,0,0
299.0,310.2,1598.0,33.4,44.0,0,9514,M24373,M,0,0,0,0,0
297.8,307.4,1902.0,24.3,129.0,0,1889,M16748,M,0,0,0,0,0
300.7,309.5,1622.0,30.5,14.0,0,2947,M17806,M,0,0,0,0,0
300.9,310.4,1576.0,40.4,92.0,0,7124,M21983,M,0,0,0,0,0
301.4,310.7,1692.0,32.3,5.0,0,3367,M18226,M,0,0,0,0,0
300.06673506805214,309.95090239349287,1331.420836627204,50.98576690827025,206.9298605621327,1,12301,SYNTH02300,M,0,0,0,0,0
297.3,308.5,1625.0,32.8,92.0,0,8811,M23670,M,0,0,0,0,0
301.4,310.5,1217.0,60.6,103.0,0,3317,M18176,M,0,0,0,0,0
298.1,309.0,1661.0,38.2,82.0,0,8554,M23413,M,0,0,0,0,0
301.1,311.1,1592.0,35.7,174.0,0,6153,M21012,M,0,0,0,0,0
297.8060717159111,308.49709015993415,1295.1043647600986,69.23434528598519,150.91018444023035,1,11517,SYNTH01516,M,0,0,0,0,0
300.5,311.7,2141.0,17.2,196.0,0,7673,M22532,M,0,0,0,0,0
301.1,311.1,1615.0,37.7,153.0,0,6145,M21004,M,0,0,0,0,0
302.9738622107868,311.1121882682741,1351.8223192335026,52.01145566713196,7.588840383248725,1,11153,SYNTH01152,M,0,0,0,0,0
302.3,311.0,1526.0,37.7,171.0,0,3763,M18622,M,0,0,0,0,0
300.3,311.9,1429.0,41.6,184.0,0,8104,M22963,M,0,0,0,0,0
296.9,307.8,1544.0,40.3,150.0,0,1067,M15926,M,0,0,0,0,0
299.9,309.5,1372.0,56.2,133.0,0,2641,M17500,M,0,0,0,0,0
302.3,310.1,1353.0,50.9,36.0,1,13377,SYNTH03376,M,0,0,0,0,0
298.1,308.8,1628.0,37.6,12.0,0,1515,M16374,M,0,0,0,0,0
296.7,307.5,1515.0,42.1,55.0,0,1108,M15967,M,0,0,0,0,0
303.0,311.0,1409.0,41.7,120.0,0,4603,M19462,M,0,0,0,0,0
302.9,311.0,1402.0,40.7,52.0,0,4575,M19434,M,0,0,0,0,0
